year,state,welfare,employed,earnings,white,woman,reform,avg_benefit
2005,"alabama",0,0,0,1,1,1,168.5625
2000,"alabama",0,1,0,0,0,1,168.5625
2005,"alabama",0,0,0,1,0,1,168.5625
1992,"alabama",0,0,0,0,0,0,168.5625
1997,"alabama",0,0,0,0,1,1,168.5625
2002,"alabama",0,0,0,1,1,1,168.5625
1995,"alabama",0,0,0,1,1,0,168.5625
1999,"alabama",0,0,0,0,1,1,168.5625
1995,"alabama",0,0,0,0,1,0,168.5625
2001,"alabama",0,0,0,0,1,1,168.5625
1992,"alabama",0,0,0,0,0,0,168.5625
1993,"alabama",0,0,0,0,0,0,168.5625
2000,"alabama",0,0,0,0,1,1,168.5625
1995,"alabama",0,0,0,0,1,0,168.5625
1997,"alabama",0,0,0,0,0,1,168.5625
2001,"alabama",0,0,0,0,1,1,168.5625
1992,"alabama",0,0,2250,1,0,0,168.5625
1996,"alabama",0,1,3900,0,0,1,168.5625
2004,"alabama",0,0,0,1,0,1,168.5625
1994,"alabama",0,0,0,1,1,0,168.5625
1990,"alabama",0,0,0,1,0,0,168.5625
2001,"alabama",0,0,0,1,0,1,168.5625
1990,"alabama",0,0,0,1,0,0,168.5625
1990,"alabama",0,0,0,1,1,0,168.5625
1993,"alabama",1,0,0,0,1,0,168.5625
1990,"alabama",0,0,0,1,1,0,168.5625
2001,"alabama",0,0,0,1,0,1,168.5625
2004,"alabama",0,0,0,0,0,1,168.5625
1995,"alabama",0,0,0,1,0,0,168.5625
1994,"alabama",0,0,0,0,0,0,168.5625
2004,"alabama",0,0,0,1,0,1,168.5625
2004,"alabama",0,0,0,1,0,1,168.5625
1994,"alabama",0,0,0,0,0,0,168.5625
2004,"alabama",0,0,0,0,1,1,168.5625
1995,"alabama",0,0,0,1,1,0,168.5625
1994,"alabama",0,0,0,0,1,0,168.5625
2001,"alabama",0,0,0,0,0,1,168.5625
2004,"alabama",0,0,0,0,0,1,168.5625
1995,"alabama",0,0,0,0,1,0,168.5625
1998,"alabama",0,1,6400,1,1,1,168.5625
2002,"alabama",0,0,0,0,0,1,168.5625
2002,"alabama",0,0,0,0,1,1,168.5625
1993,"alabama",0,0,0,0,0,0,168.5625
2005,"alabama",0,0,0,0,0,1,168.5625
1996,"alabama",0,0,0,1,0,1,168.5625
2005,"alabama",0,0,0,0,1,1,168.5625
1992,"alabama",0,0,0,1,0,0,168.5625
1998,"alabama",0,1,4300,1,0,1,168.5625
2000,"alabama",0,0,0,0,0,1,168.5625
2002,"alabama",0,0,0,0,1,1,168.5625
2005,"alabama",0,0,0,0,1,1,168.5625
1993,"alabama",0,0,0,0,1,0,168.5625
2003,"alabama",0,1,16000,1,0,1,168.5625
1996,"alabama",0,0,0,1,1,1,168.5625
1990,"alabama",0,0,0,0,0,0,168.5625
1998,"alabama",0,0,0,0,0,1,168.5625
2000,"alabama",0,0,0,1,0,1,168.5625
1993,"alabama",0,1,0,0,1,0,168.5625
2003,"alabama",0,0,0,0,1,1,168.5625
2003,"alabama",0,0,0,0,0,1,168.5625
2003,"alabama",0,0,0,1,0,1,168.5625
2003,"alabama",0,0,0,0,1,1,168.5625
2003,"alabama",0,0,0,1,0,1,168.5625
2003,"alabama",0,0,0,1,1,1,168.5625
1994,"alabama",0,0,240,1,1,0,168.5625
1996,"alabama",0,0,0,0,0,1,168.5625
1996,"alabama",0,0,0,0,1,1,168.5625
2003,"alabama",0,0,0,0,0,1,168.5625
1995,"alabama",0,0,0,1,0,0,168.5625
